name,brand,price_pkr,url,source,ram_gb,storage_gb,processor,display_inches
Lenovo Thinkpad – X230 – Core i5 3rd Gen – 4 GB RAM – 250 GB – 12.5″ - Refurbished,Lenovo,23999,#,Daraz.pk,4,512,Intel i5,15.6
"Hp Chromebook 11 G7 EE - 4GB RAM DDR4 - 16GB SSD EMMC - Playstore supported - 11.6"" screen",HP,229153,#,Daraz.pk,4,16,Intel i5,11.6
"HP G8 Chromebook – Lightweight Laptop 11.6"" HD Display, 4GB RAM, 32GB SSD –Webcam | Playstore Supported | 2027 Updateabl",HP,119093,#,Daraz.pk,4,32,Intel i5,11.6
Daraz Like New Laptops - Daraz Like New Laptops - HP Chromebook 11 G5 | 16GB Storage | 4GB RAM | 11.6″ Display | Playsto,HP,76812,#,Daraz.pk,4,16,Intel i5,15.6
Dell 7280 - Core i5 7th Generation - 8GB RAM - 256GB SSD - 12.5inch Screen - FREE LAPTOP BAG (Windows 11 Licensed) - Dar,Dell,43499,#,Daraz.pk,8,256,Intel i5,12.5
USED - Lenovo N22/N23 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported - USED,Lenovo,210187,#,Daraz.pk,4,16,Intel i5,15.6
Acer C740 ChromeBook Laptop - 4GB RAM / 128GB SSD Storage - Windows 10 Installed - Long Battery Life,Acer,18650,#,Daraz.pk,4,128,Intel i5,10.0
"Mix Core i3 2nd Generation - 4GB ram , 500GB Hard Drive Battery Life:** Around **1-3 hours** on normal usage.",Unknown,21500,#,Daraz.pk,4,512,Intel i3,15.6
"Lenovo Chromebook 100e ,hp g8,hp g5ee chrome book high quality laptop | 11.6” Display | Intel N3350 | 4GB RAM, 32GB Stor",HP,180472,#,Daraz.pk,4,32,Intel i5,15.6
"Apple MacBook Pro A1706 (2017) with Retina, Touch Bar, Intel Core i5 Dual Core 3.1GHz, (13-Inches, 16GB RAM, 256GB SSD) ",Apple,92999,#,Daraz.pk,16,256,Intel i5,15.6
Acer C740 ChromeBook Laptop - 2gb / 16gb - With Play Store - Longer Battery Life,Acer,65822,#,Daraz.pk,2,512,Intel i5,15.6
"Samsung Chromebook 500C - Celeron processor - 4gb Ram - 16GB SSD - 11.6"" screen - Playstore supported",Samsung,123168,#,Daraz.pk,4,16,Intel Celeron,11.6
Dell Chromebook 11 Windows Converted | 3120 P22T | 4GB Ram | 16GB Storage | Playstore Supported | Chromebook,Dell,194663,#,Daraz.pk,4,16,Intel i5,15.6
"Asus Chromebook C204E - Celeron processor - 4gb Ram - 32GB SSD - 11.6"" screen - Playstore supported- Update 2029",ASUS,55523,#,Daraz.pk,4,32,Intel Celeron,11.6
Gaming Laptop HP Victus 15-FB2082WM - 14th Gen - NVIDIA RTX 4050 6GB Graphics - Ryzen 5 8000 series - 8GB DDR4 - 512GB S,HP,275000,#,Daraz.pk,8,512,AMD Ryzen 5,15.6
Apple Macbook Pro 2011 A1278 13.3 LED Display - Intel Core i5 Processor 4GB RAM - 128GB SSD - Dual Operating Systems Win,Apple,35999,#,Daraz.pk,4,128,Intel i5,15.6
"HP Chromebook G5 ee – 11.6"" Laptop, 4GB RAM, 16GB SSD – Lightweight laptop & Fast Chrome OS | Webcam | Playstore Support",HP,173492,#,Daraz.pk,4,16,Intel i5,11.6
USED - Lenovo Thinkpad – X230 – Core i5 3rd Gen – 4 GB RAM – 250 GB – 12.5″ - Refurbished - DARAZ LIKE NEW LAPTOPS - USE,Lenovo,23999,#,Daraz.pk,4,512,Intel i5,15.6
"Lenovo Chromebook N23 Windows 10- Celeron processor - 4gb Ram - 16GB SSD - 11.6"" screen - Windows Converted",Lenovo,120286,#,Daraz.pk,4,16,Intel Celeron,11.6
"Dell Latitude 5410 Intel Core i5 10th Generation, 16GB DDR4 Ram, 256GB SSD Drive, 14"" FHD Led Display, Intel HD Graphics",Dell,74999,#,Daraz.pk,16,256,Intel i5,14.0
Apple Macbook Pro A1278 13.3 LED Display - Intel® Core™2 Duo Processor 4GB RAM - 250GB HDD - Dual Operating System Windo,Apple,38999,#,Daraz.pk,4,256,Intel i5,15.6
"HP ORIGINAL | Chromebook 11 G4 | 8 to 10 Hours Battery Timing | 16GB SSD Storage | 4GB RAM | 11.6"" FULL HD Display | WIN",HP,223623,#,Daraz.pk,4,16,Intel i5,11.6
"Dell | ChromeBook 3100 - 2029 update | Quad-Core Processor, 4GB RAM | 16GB/32GB Storage | 11.6″ Display | Playstore/Wind",Dell,167986,#,Daraz.pk,4,32,Intel i5,15.6
Lenovo ThinkPad T450 - 14 Inch - Intel i5-5300U 2.30GHz - 8 GB RAM - 500GB HDD - Windows 10 (Registered Windows) FREE LA,Lenovo,33999,#,Daraz.pk,8,512,Intel i5,14.0
"Lenovo Chromebook 100e | 11.6” Display laptop| Intel N3350 | 4GB RAM, 32GB Storage | Webcam | Play Store Support | 8hr B",Lenovo,168436,#,Daraz.pk,4,32,Intel i5,15.6
"Dell Core i7-8th Generation | 16GB RAM , 512GB SSD Hard | 2K HD Display | 6Hours+ Battery Backup | FREE LAPTOP BAG",Dell,92500,#,Daraz.pk,16,512,Intel i7,15.6
"💻 Lenovo Laptop N23 Chromebook | 11.6"" HD | 4GB RAM | Chrome OS | Ideal for Students & Travel",Lenovo,38261,#,Daraz.pk,4,512,Intel i5,11.6
"""Lenovo ThinkPad Yoga 11e 11.6"" Touchscreen Laptop - Intel Quad-Core, 128GB SSD, 8GB RAM, HD Webcam, HDMI, Bluetooth, Wi",Lenovo,29999,#,Daraz.pk,8,128,Intel i5,11.6
HP Chromebook 14 Display G5 | 32GB SSD Storage | 8GB RAM | 14 inch | HD Display | Dual Core | Factory Playstore - Daraz ,HP,23999,#,Daraz.pk,8,32,Intel i5,14.0
"Daraz Like New Laptops - Dell Latitude 5410 Ultra Book Core i5 10th generation, 8GB DDR4 Ram 256GB Solid State Drive SSD",Dell,59999,#,Daraz.pk,8,512,Intel i5,14.1
"Apple MacBook Air A1466 Early 2015 With 1.6GHz Intel Core i5 (13.3 inch, 4GB RAM, 128GB) Silver - Daraz Like New Laptops",Apple,49999,#,Daraz.pk,4,512,Intel i5,13.3
Lenovo Thinkpad T480 - Core i5 8th Generation -8GB DDR4 - 256GB SSD - 14inch Screen - FREE LAPTOP BAG (Windows 11 Licens,Lenovo,54999,#,Daraz.pk,8,256,Intel i5,14.0
"LENOVO X270 i5 7th generation, 8GB Ram, 256GB SSD, 12.5"" Led Display, (Windows 11 Licensed) FREE LAPTOP BAG - Daraz Like",Lenovo,39499,#,Daraz.pk,8,256,Intel i5,12.5
DELL CHROMEBOOK LAPTOP 3180 - 4GB/16GB - PLAYSTORE SUPPORTED,Dell,169683,#,Daraz.pk,4,16,Intel i5,15.6
HP ELITEBOOK 830-G8 11TH GENERATION INTEL CORE-I5 1135G7 PROCESSOR 16GB RAM 512GB SSD FHD 13.3’INCH (WINDOWS 11 ACTIVATE,HP,102999,#,Daraz.pk,16,512,Intel i5,15.6
HP | Chromebook 11 G5 |,HP,42791,#,Daraz.pk,8,512,Intel i5,15.6
"HP ProBook 640 G2 14-inch HD Display, Intel Core i5-6th Gen Up to 3.0GHz, 8GB RAM, 256GB NVMe SSD, Display Port, Wi-Fi, ",HP,49999,#,Daraz.pk,8,512,Intel i5,15.6
HP EliteBook 830 G8 | Intel Core i5 11th Generation | 16 GB RAM DDR4 | 256 GB SSD | Intel (R)Iris(R)Xe Graphics | 13 inc,HP,90000,#,Daraz.pk,16,256,Intel i5,13.0
Airpods Pro Orignal 2rd Gen Bluetooth Earbuds Dual Earphones Headset (Connect With All Bluetooth Devices),Unknown,162103,#,Daraz.pk,8,512,Intel i5,15.6
"Microsoft Surface Laptop Go 12.4"" Touch - Core i5-1035G1 10th Gen - 8GB DDR4 - 256GB NVME SSD - Windows 11 Pro - Platinu",Microsoft,78500,#,Daraz.pk,8,512,Intel i5,12.4
"Core i7 4770,16GB Ram,500 GB HDD,128 SSD,2 GB Graphics Card",Unknown,56550,#,Daraz.pk,16,512,Intel i7,15.6
"Lenovo Thinkpad T440 Ultrabook, 14 Inch Display, Intel Core i5 4th Gen 1.9GHz, 4GB RAM, 500GB, USB 3.0, WiFi, Windows 10",Lenovo,31999,#,Daraz.pk,4,512,Intel i5,14.0
Lenovo Chromebook 300E 2nd generation auto update 2027 With Touch Intel Celeron 4GB RAM 32GB Chrome OS (FREE LAPTOP BAG),Lenovo,18500,#,Daraz.pk,4,512,Intel Celeron,15.6
HP ELITEBOOK 840-G5 8TH GENERATION | INTEL CORE-I5 | 8250u PROCESSOR | 8GB RAM | 256GB SSD | FHD | 14.1’INCH DISPLAY | S,HP,66999,#,Daraz.pk,8,256,Intel i5,15.6
Lenovo ThinkPad X230 Core i5 3rd Gen 4GB RAM 250 GB 12..5″ Windows 10 (Free Laptop Bag) - Daraz like new laptops,Lenovo,23999,#,Daraz.pk,4,512,Intel i5,15.6
"Dell Latitude 6430, Core i5 3rd generation, 4 GB Ram, 500GB Hard Drive, 14"" Led Display, (Windows 10 Registered) FREE LA",Dell,23999,#,Daraz.pk,4,512,Intel i5,14.0
Daraz Like New - HP ProBook 640 G1 - Core i5 4th Generation - 8GB RAM - 256GB SSD - 14inch Screen - FREE LAPTOP BAG,HP,36999,#,Daraz.pk,8,256,Intel i5,14.0
Core i5 2nd Generation 4GB Ram 250 GB Hardisk combo Camera Charger 14.1” Display – Slightly Used Laptop,Unknown,25000,#,Daraz.pk,4,512,Intel i5,15.6
HP ELITEBOOK 840-G5 ( TOUCH SCREEN ) 8TH GENERATION | INTEL CORE-I5 | 8250u PROCESSOR | 16GB RAM | 512GB SSD | FHD | 14.,HP,84999,#,Daraz.pk,16,512,Intel i5,15.6
